fm_nationality,year,population_by_year
China-China,2017,958
Nicaragua-Nicaragua,2017,96
Vietnam-Vietnam,2017,552
Philippines-Philippines,2018,933
Mexico-United States,2018,802
Nicaragua-United States,2018,12
China-China,2018,990
Nicaragua-Nicaragua,2018,81
Mexico-Mexico,2018,6338
El Salvador-El Salvador,2018,725
United States-Mexico,2018,427
Pakistan-Pakistan,2018,192
Guatemala-Guatemala,2018,388
Dominican Republic-Dominican Republic,2018,388
India-India,2018,1342
Italy-Italy,2018,237
Puerto Rico-Puerto Rico,2018,632
Vietnam-Vietnam,2018,599
Dominican Republic-Dominican Republic,2019,462
Guatemala-Guatemala,2019,401
Nicaragua-United States,2019,9
Vietnam-Vietnam,2019,549
Puerto Rico-Puerto Rico,2019,583
El Salvador-El Salvador,2019,645
Italy-Italy,2019,226
India-India,2019,1404
China-China,2019,920
Nicaragua-Nicaragua,2019,66
Mexico-Mexico,2019,6163
Philippines-Philippines,2019,846
Pakistan-Pakistan,2019,178
Mexico-United States,2019,732
United States-Mexico,2019,438
